date,swe_in,depth_in,temp_f,precip_in,station_triplet,station_name,elevation_ft
2025-10-01,0.0,0,39.2,,1085:WA:SNTL,Cayuse Pass,5260
2025-10-02,0.0,0,39.7,,1085:WA:SNTL,Cayuse Pass,5260
2025-10-03,0.0,0,40.6,,1085:WA:SNTL,Cayuse Pass,5260
2025-10-04,0.0,0,38.5,,1085:WA:SNTL,Cayuse Pass,5260
2025-10-05,0.0,0,46.0,,1085:WA:SNTL,Cayuse Pass,5260
2025-10-06,0.0,0,49.5,,1085:WA:SNTL,Cayuse Pass,5260
2025-10-07,0.0,0,44.2,,1085:WA:SNTL,Cayuse Pass,5260
2025-10-08,0.0,0,46.6,,1085:WA:SNTL,Cayuse Pass,5260
2025-10-09,0.0,0,51.8,,1085:WA:SNTL,Cayuse Pass,5260
2025-10-10,0.0,0,36.7,,1085:WA:SNTL,Cayuse Pass,5260
2025-10-11,0.1,0,33.1,,1085:WA:SNTL,Cayuse Pass,5260
2025-10-12,0.6,3,30.6,,1085:WA:SNTL,Cayuse Pass,5260
2025-10-13,0.8,1,32.2,,1085:WA:SNTL,Cayuse Pass,5260
2025-10-14,0.6,2,35.6,,1085:WA:SNTL,Cayuse Pass,5260
2025-10-15,0.3,0,36.1,,1085:WA:SNTL,Cayuse Pass,5260
2025-10-16,0.1,0,35.2,,1085:WA:SNTL,Cayuse Pass,5260
2025-10-17,0.0,0,34.2,,1085:WA:SNTL,Cayuse Pass,5260
2025-10-18,0.1,0,39.0,,1085:WA:SNTL,Cayuse Pass,5260
2025-10-19,0.3,0,33.8,,1085:WA:SNTL,Cayuse Pass,5260
2025-10-20,0.0,0,37.9,,1085:WA:SNTL,Cayuse Pass,5260
2025-10-21,0.0,0,51.4,,1085:WA:SNTL,Cayuse Pass,5260
2025-10-22,0.0,0,38.7,,1085:WA:SNTL,Cayuse Pass,5260
2025-10-23,0.0,0,43.3,,1085:WA:SNTL,Cayuse Pass,5260
2025-10-24,0.1,0,32.5,,1085:WA:SNTL,Cayuse Pass,5260
2025-10-25,1.0,7,29.3,,1085:WA:SNTL,Cayuse Pass,5260
2025-10-26,2.4,16,27.5,,1085:WA:SNTL,Cayuse Pass,5260
2025-10-27,2.6,17,28.0,,1085:WA:SNTL,Cayuse Pass,5260
2025-10-28,2.6,12,37.2,,1085:WA:SNTL,Cayuse Pass,5260
2025-10-29,2.5,12,40.1,,1085:WA:SNTL,Cayuse Pass,5260
2025-10-30,2.4,11,39.2,,1085:WA:SNTL,Cayuse Pass,5260
2025-10-31,2.2,5,41.0,,1085:WA:SNTL,Cayuse Pass,5260
2025-11-01,0.8,2,32.2,,1085:WA:SNTL,Cayuse Pass,5260
2025-11-02,0.8,2,34.2,,1085:WA:SNTL,Cayuse Pass,5260
2025-11-03,1.9,10,30.9,,1085:WA:SNTL,Cayuse Pass,5260
2025-11-04,2.0,10,36.5,,1085:WA:SNTL,Cayuse Pass,5260
2025-11-05,1.7,4,36.0,,1085:WA:SNTL,Cayuse Pass,5260
2025-11-06,1.5,4,31.8,,1085:WA:SNTL,Cayuse Pass,5260
2025-11-07,2.2,8,31.1,,1085:WA:SNTL,Cayuse Pass,5260
2025-11-08,2.1,8,40.6,,1085:WA:SNTL,Cayuse Pass,5260
2025-11-09,1.4,3,49.3,,1085:WA:SNTL,Cayuse Pass,5260
2025-11-10,0.8,1,36.5,,1085:WA:SNTL,Cayuse Pass,5260
2025-11-11,0.5,0,44.1,,1085:WA:SNTL,Cayuse Pass,5260
2025-11-12,0.0,0,42.1,,1085:WA:SNTL,Cayuse Pass,5260
2025-11-13,0.0,0,39.4,,1085:WA:SNTL,Cayuse Pass,5260
2025-11-14,0.0,0,40.5,,1085:WA:SNTL,Cayuse Pass,5260
2025-11-15,0.0,0,43.7,,1085:WA:SNTL,Cayuse Pass,5260
2025-11-16,0.0,0,40.6,,1085:WA:SNTL,Cayuse Pass,5260
2025-11-17,0.0,0,27.9,,1085:WA:SNTL,Cayuse Pass,5260
2025-11-18,0.2,1,27.1,,1085:WA:SNTL,Cayuse Pass,5260
2025-11-19,0.2,1,30.4,,1085:WA:SNTL,Cayuse Pass,5260
2025-11-20,0.4,2,30.9,,1085:WA:SNTL,Cayuse Pass,5260
2025-11-21,0.4,3,35.8,,1085:WA:SNTL,Cayuse Pass,5260
2025-11-22,0.2,1,36.0,,1085:WA:SNTL,Cayuse Pass,5260
2025-11-23,0.3,1,28.9,,1085:WA:SNTL,Cayuse Pass,5260
2025-11-24,0.7,3,27.1,,1085:WA:SNTL,Cayuse Pass,5260
